Date;Kanji Price;Hedging Portfolio;Error * 100
22/03/2013;1.04629207195592;1.04629207195592;0
25/03/2013;1.04476121622805;1.0463494045991;0.158818837105246
26/03/2013;1.04555193162387;1.04714546249078;0.159353086690284
27/03/2013;1.04323489933885;1.04664792699124;0.341302765239448
28/03/2013;1.04337443341408;1.04680298515199;0.342855173791201
02/04/2013;1.04582481117554;1.04965947939015;0.38346682146142
03/04/2013;1.04441855669081;1.04662777921421;0.220922252339917
05/04/2013;1.03980599410148;1.04154921774678;0.174322364529611
08/04/2013;1.04249350080651;1.04231755963732;-0.0175941169190175
09/04/2013;1.04381426619633;1.04362644817867;-0.0187818017659769
10/04/2013;1.04831993464149;1.04832926940631;0.000933476482667395
11/04/2013;1.05105432046435;1.04962114474687;-0.143317571748081
12/04/2013;1.04867989991807;1.04750957774278;-0.117032217528057
15/04/2013;1.04457474035532;1.04319359126373;-0.138114909158649
16/04/2013;1.0458968848567;1.04356505384105;-0.233183101565304
17/04/2013;1.03750975045732;1.03940407860582;0.18943281485011
18/04/2013;1.03785956516184;1.03864246086665;0.0782895704814157
19/04/2013;1.04166564987123;1.0423916854745;0.0726035603274555
22/04/2013;1.04334410599565;1.04337329831469;0.00291923190354204
23/04/2013;1.0465291551767;1.046579869827;0.00507146502932709
24/04/2013;1.05047240107798;1.05006119355849;-0.0411207519487089
25/04/2013;1.05265402663272;1.0517264727149;-0.092755391781485
26/04/2013;1.05232212623266;1.05136345865211;-0.095866758055152
29/04/2013;1.05442341646055;1.05387684519756;-0.0546571262991957
30/04/2013;1.05549139683222;1.05477742274186;-0.0713974090358116
02/05/2013;1.05540402219786;1.05481308527682;-0.0590936921042173
03/05/2013;1.05855114472862;1.05830270680369;-0.0248437924929679
06/05/2013;1.05970658947099;1.05916912137976;-0.0537468091232229
07/05/2013;1.06162038303573;1.06147633190666;-0.0144051129072897
08/05/2013;1.0574684760026;1.06390466632514;0.64361903225465
10/05/2013;1.05817369138408;1.06452746709724;0.635377571316353
13/05/2013;1.05580084751145;1.06226883006343;0.646798255198755
14/05/2013;1.05944048578746;1.06418128535739;0.474079956992468
15/05/2013;1.06148725725675;1.06624308197447;0.475582471771663
16/05/2013;1.06088704160338;1.0656809270336;0.47938854302223
