Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-01-03,14843.97,14945.05,14843.97,14944.77,250383000,0,0
2006-01-04,15112.76,15208.86,15085.44,15200.06,565220200,0,0
2006-01-05,15313.85,15373.79,15261.82,15271.13,514294600,0,0
2006-01-06,15327.29,15347.0,15252.48,15344.44,397727400,0,0
2006-01-09,15497.97,15602.88,15497.72,15547.43,581542400,0,0
2006-01-10,15638.4,15658.91,15500.16,15569.91,581719000,0,0
2006-01-11,15584.54,15725.47,15584.54,15650.88,576574400,0,0
2006-01-12,15767.94,15791.3,15651.96,15719.37,503136400,0,0
2006-01-13,15672.39,15792.36,15670.77,15787.97,380816800,0,0
2006-01-16,15787.27,15816.54,15745.04,15777.72,393659200,0,0
2006-01-17,15798.52,15798.52,15550.23,15576.2,506251600,0,0
2006-01-18,15426.92,15525.6,15376.45,15481.21,437278800,0,0
2006-01-19,15555.78,15675.27,15549.68,15670.42,418395400,0,0
2006-01-20,15700.71,15788.07,15565.51,15662.08,556324200,0,0
2006-01-23,15454.8,15497.93,15412.26,15464.77,512870000,0,0
2006-01-24,15540.92,15551.66,15463.11,15530.57,334958200,0,0
2006-01-25,15560.66,15572.38,15487.68,15520.39,375993800,0,0
2006-01-26,15550.33,15563.4,15469.24,15520.07,361639800,0,0
2006-01-27,15659.21,15770.45,15650.69,15753.14,900109200,0,0
2006-02-01,15798.44,15808.18,15653.9,15742.3,540984600,0,0
2006-02-02,15771.34,15775.65,15666.94,15691.69,510822200,0,0
2006-02-03,15472.03,15486.74,15420.66,15429.73,565005800,0,0
2006-02-06,15415.88,15564.96,15374.89,15548.06,473072800,0,0
2006-02-07,15558.52,15560.4,15466.47,15517.01,526470000,0,0
2006-02-08,15451.21,15469.51,15327.07,15373.44,612390600,0,0
2006-02-09,15443.43,15467.67,15371.73,15413.43,397975800,0,0
2006-02-10,15365.39,15443.45,15355.44,15425.95,411900800,0,0
2006-02-13,15303.04,15355.39,15267.95,15312.09,406328000,0,0
2006-02-14,15241.66,15445.07,15240.95,15420.32,417382000,0,0
2006-02-15,15449.14,15514.93,15316.63,15423.26,436302800,0,0
2006-02-16,15495.8,15495.8,15436.53,15450.88,373306400,0,0
2006-02-17,15517.92,15520.6,15437.54,15475.69,354205000,0,0
2006-02-20,15525.74,15627.05,15525.74,15598.67,326216800,0,0
2006-02-21,15651.74,15661.2,15567.63,15627.24,359727400,0,0
2006-02-22,15613.86,15641.78,15584.27,15635.72,285357400,0,0
2006-02-23,15651.78,15849.86,15611.55,15812.53,527662800,0,0
2006-02-24,15848.5,15875.33,15779.79,15856.05,350481000,0,0
2006-02-27,15943.64,15999.31,15890.8,15949.89,417455600,0,0
2006-02-28,15920.49,15928.08,15824.45,15918.48,357386400,0,0
2006-03-01,15768.21,15887.63,15768.21,15818.09,296409200,0,0
2006-03-02,15905.94,15922.95,15836.36,15882.45,294946800,0,0
