# maturity time: 7.59126984126984
# model size: 3# number of dates: 1914
# spot: 2641.120117 1563.77002 22311.080078 
# dividend rate: 0.000000 0.000000 0.000000
# correlation: 0.2
# volatility: 0.182308760265319 0.12674618597894 0.188693125383548 
2641.120117 1563.77002 22311.080078 
2612.459961 1562.849976 22464.820313 
2624.02002 1569.189941 22299.630859 
2679.800049 1570.25 22367.820313 
2639.01001 1553.689941 22337.490234 
2585.280029 1553.280029 21726.900391 
2589.25 1563.069946 21718.050781 
2595.129883 1568.609985 21870.339844 
2661.620117 1587.72998 22034.560547 
2674.330078 1593.369995 22101.269531 
2633.469971 1588.849976 22089.050781 
2624.709961 1552.359985 21772.669922 
2609.300049 1574.569946 21672.029297 
2553.48999 1552.01001 21569.669922 
2555.5 1541.609985 21512.519531 
2575.159912 1555.25 22013.570313 
2583.620117 1562.5 22044.369141 
2662.879883 1578.780029 21806.609375 
2702.050049 1578.790039 22183.050781 
2704.409912 1585.160034 22401.240234 
2683.429932 1582.23999 22547.710938 
2717.379883 1593.609985 22580.769531 
2712 1597.569946 22737.009766 
2718.899902 1597.589966 22668.300781 
2763.679932 1614.420044 22689.960938 
2750.52002 1617.5 22915.089844 
2769.080078 1625.959961 23047.089844 
2784.620117 1632.689941 23244.349609 
2785.23999 1633.699951 23321.220703 
2777.389893 1633.77002 22989.810547 
2795.629883 1650.339966 22930.279297 
2809.580078 1658.780029 23044.240234 
2806.699951 1650.469971 23082.679688 
2821.649902 1669.160034 23366.369141 
2835.01001 1655.349976 23261.080078 
2776.780029 1650.51001 22669.679688 
2764.290039 1649.599976 22618.669922 
2835.870117 1660.060059 22924.25 
2786.540039 1648.359985 22554.929688 
2799.199951 1654.410034 22484.310547 
2769.639893 1630.73999 22392.160156 
2747.73999 1640.420044 22282.189453 
2755.699951 1631.380005 22285.519531 
2709.330078 1608.900024 22069.240234 
2676.209961 1622.560059 21838.429688 
2724.080078 1643.380005 21575.259766 
2719.399902 1642.810059 21615.089844 
2683.199951 1626.130005 21354.660156 
2661.709961 1636.359985 20887.039063 
2667.320068 1626.72998 20969.140625 
2702.689941 1639.040039 21225.900391 
2700.929932 1651.810059 21225.880859 
2683.97998 1628.930054 20986.890625 
2586.449951 1588.189941 20382.869141 
2549.47998 1592.430054 20263.310547 
2511.830078 1573.089966 19813.980469 
2543.370117 1588.030029 19855.720703 
2602.810059 1603.26001 20338.550781 
2619.860107 1613.199951 20440.080078 
2602.590088 1606.280029 20803.289063 
2603.199951 1614.079956 20658.650391 
2570.76001 1615.410034 20147.310547 
2596.01001 1631.890015 20854.669922 
2650.850098 1640.459961 20582.189453 
2664.139893 1652.319946 20683.009766 
2659.709961 1652.619995 20904.560547 
2681.320068 1675.02002 21437.490234 
2674.870117 1680.189941 21277.279297 
2686.689941 1682.5 21303.310547 
2665.610107 1676.26001 21312.380859 
2681.879883 1680.910034 21371.869141 
2717.98999 1689.369995 21345.220703 
2716.169922 1692.089966 21362.419922 
2725.399902 1695.530029 21416.5 
2722.899902 1692.390015 21915.419922 
2752.25 1685.939941 21968.929688 
2740.290039 1690.25 21900.960938 
2741.959961 1691.650024 21968.949219 
2741.72998 1685.329956 21850.150391 
2759.209961 1685.959961 21953.960938 
2768.149902 1685.72998 21883.660156 
2811 1709.670044 22190.970703 
2809.080078 1707.140015 22222.009766 
2790.780029 1697.369995 21923.699219 
2794.439941 1690.910034 21588.839844 
2816.879883 1697.47998 21655.880859 
2825.620117 1691.420044 21807.560547 
2827.149902 1689.469971 22271.279297 
2841.610107 1694.160034 22541.130859 
2835.860107 1661.319946 22539.25 
2854.27002 1655.829956 22517.810547 
2823.350098 1646.060059 22463.699219 
2787.97998 1652.349976 21970.289063 
2774.580078 1642.800049 21817.730469 
2812.320068 1656.959961 21895.400391 
2826.050049 1663.5 21863.509766 
2821.449951 1656.780029 22005.320313 
2749.27002 1630.47998 21874.769531 
2742.610107 1634.959961 21524.650391 
2758.310059 1638.170044 21704.779297 
2721.370117 1632.969971 21731.369141 
2753.350098 1639.77002 22394.580078 
2758.290039 1653.079956 22326.220703 
2774.199951 1655.079956 22597.970703 
2803.419922 1655.170044 22621.220703 
2798.310059 1671.709961 22750.650391 
2851.399902 1683.98999 22976.650391 
2863.439941 1689.130005 22937.140625 
2862.070068 1683.420044 22953.720703 
2867.110107 1687.98999 22915.279297 
2894.639893 1697.599976 23252.410156 
2890.949951 1704.76001 23180.519531 
2908.919922 1725.52002 23117.449219 
2936.199951 1722.339966 23502.509766 
2906.350098 1701.839966 23371.539063 
2922.929932 1697.420044 23179.039063 
2927.350098 1692.77002 23209.630859 
2922.98999 1698.670044 23125.029297 
2919.340088 1691.75 23207.039063 
2893.149902 1681.550049 22859.859375 
2918.310059 1693.869995 22984.480469 
2902.120117 1678.660034 23214.400391 
2928.310059 1690.5 23138.539063 
2923.040039 1676.119995 22973.949219 
2903.350098 1655.449951 23178.849609 
2904.72998 1656.400024 23033.970703 
2969.409912 1692.560059 22951.300781 
2974.280029 1703.199951 23218.320313 
3004.560059 1698.060059 23336.519531 
3015.399902 1721.540039 23228.330078 
3010.389893 1733.150024 23094.880859 
3033.310059 1744.5 23340.099609 
3028.649902 1744.660034 23438.150391 
3045.77002 1754.670044 23315.990234 
3017.159912 1746.380005 22999.949219 
3038.959961 1752.069946 22835.820313 
3034.5 1759.77002 22698.339844 
3022.040039 1762.109985 22806.580078 
3050.639893 1771.949951 22846.539063 
3040.689941 1763.310059 23304.019531 
3067.949951 1756.540039 23206.369141 
3052.139893 1761.640015 23249.789063 
