Date;Kanji Price;Hedging Portfolio;Error 
22/03/2013;98.6183065825734;98.6183065825734;0
25/03/2013;98.6661204833743;98.5044882373211;-0.161632246053202
26/03/2013;98.5857378247089;98.5903336734616;0.0045958487527713
27/03/2013;98.5140914013448;98.5376705938822;0.0235791925373405
28/03/2013;98.5304895904485;98.5543594688369;0.0238698783883962
02/04/2013;98.8967446913911;98.8564414204869;-0.0403032709042179
03/04/2013;98.5800725664585;98.5338104052329;-0.0462621612256271
05/04/2013;98.1051047600004;97.9869646924364;-0.118140067563999
08/04/2013;98.3523996244193;98.0703919904692;-0.28200763395013
09/04/2013;97.6053824836066;98.2124326509751;0.60705016736847
10/04/2013;98.1912995743639;98.725737749037;0.534438174673141
11/04/2013;98.5205316945501;98.8655499960467;0.345018301496665
12/04/2013;98.257474679325;98.6333965582237;0.375921878898708
15/04/2013;97.8283663933617;98.1762700096358;0.347903616274067
16/04/2013;97.9956384127566;98.2100529168524;0.214414504095799
17/04/2013;97.557061915648;97.7627511673799;0.205689251731854
18/04/2013;97.6754126848059;97.6816941130068;0.00628142820090716
19/04/2013;98.0941895838831;98.0900170961261;-0.0041724877570033
22/04/2013;98.3543510800172;98.1957942986245;-0.158556781392676
23/04/2013;98.7053273455415;98.5482185446071;-0.157108800934481
24/04/2013;99.197883289242;98.9267570752455;-0.271126213996439
25/04/2013;99.4574928509551;99.1039410697135;-0.353551781241663
26/04/2013;99.4348769849143;99.0634325907348;-0.371444394179548
29/04/2013;99.702891910983;99.332276121244;-0.370615789738977
30/04/2013;99.8609609097233;99.4253330671948;-0.435627842528547
02/05/2013;99.8620389503428;99.4284022960533;-0.433636654289472
03/05/2013;100.227131027974;99.7957149139045;-0.431416114069293
06/05/2013;100.370839471839;99.8844671816856;-0.486372290153454
07/05/2013;100.312773321792;100.123194724235;-0.189578597556775
08/05/2013;100.573247962327;100.374398654573;-0.198849307754159
10/05/2013;100.495394922758;100.437678050995;-0.0577168717627643
13/05/2013;100.540178767389;100.201765831515;-0.338412935874345
14/05/2013;100.762670001589;100.402145862959;-0.360524138629174
15/05/2013;100.970259625629;100.618324013277;-0.351935612351397
16/05/2013;100.896152456437;100.559070070133;-0.337082386303919
21/05/2013;101.087157639071;100.972439581706;-0.114718057365081
22/05/2013;101.026172378486;100.865201228556;-0.160971149929878
23/05/2013;100.33044694424;100.156373020642;-0.174073923598229
24/05/2013;100.418934856305;100.05828614503;-0.360648711274948
28/05/2013;100.955564356295;100.689340028601;-0.266224327694232
29/05/2013;100.493382814028;100.109273356899;-0.384109457129014
30/05/2013;100.698138418414;100.183765470602;-0.514372947812063
31/05/2013;100.179058260258;99.7931649434829;-0.385893316774627
03/06/2013;100.106341595326;99.6991707179073;-0.407170877418537
04/06/2013;100.033143153109;99.6726633338553;-0.360479819253428
05/06/2013;99.4996533742171;99.1424386782576;-0.357214695959556
06/06/2013;99.5405825071018;98.962481364265;-0.578101142836829
07/06/2013;99.703055332837;99.2044208523488;-0.49863448048815
10/06/2013;99.7236010683542;99.2031287808421;-0.52047228751205
11/06/2013;99.283358397447;98.761054456068;-0.522303941379008
13/06/2013;99.0656859115515;98.491640864678;-0.574045046873465
14/06/2013;99.1047553958766;98.4942943926195;-0.610461003257029
17/06/2013;99.4814916960765;98.8823721582642;-0.599119537812214
18/06/2013;99.5711411566134;98.9724447190342;-0.59869643757925
19/06/2013;99.1542433169982;98.5933004491885;-0.560942867809658
